Molecule ChEMBL ID,Molecule Name,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Comment,Response
CHEMBL3233539,,C[C@@H](NC(=O)c1ccnc2ccccc12)C(=O)N1CCC[C@H]1C#N,IC50,'>',100000.0,nM,406991,Inactive
CHEMBL3233566,,N#C[C@@H]1CCCN1C(=O)CNC(=O)c1nc[nH]n1,IC50,'>',100000.0,nM,406996,Inactive
CHEMBL592778,,COc1cc2c(cc1OC)[C@@H]1C[C@H](N)[C@@H](N3CCCCC3=O)CN1CC2,IC50,'=',22.0,nM,,Active
CHEMBL601074,,CCC1CC(=O)N(C2CN3CCc4cc(OC)c(OC)cc4C3CC2N)C1,IC50,'=',13.0,nM,,Active
CHEMBL591291,,COc1cc2c(cc1OC)[C@@H]1C[C@H](N)[C@@H](N3C[C@H](C)CC3=O)CN1CC2,IC50,'=',2.6,nM,,Active
CHEMBL275472,,FC(CNC1CCCCC1)=C1CCCCC1,IC50,'>',500000.0,nM,,Inactive
CHEMBL2385272,,N#C[C@@H]1CCCN1C(=O)CNC(=O)c1ccnc2cc(Cl)ccc12,IC50,'>',100000.0,nM,,Inactive
CHEMBL238201,,Cn1cnc2c(N3C[C@H](c4ccccc4)[C@@H](N)C3)ncnc21,IC50,'>',3000.0,nM,,Inactive
CHEMBL398101,,CC(=O)c1ccc(N2C[C@H](c3ccccc3)[C@@H](N)C2)nc1,IC50,'>',3000.0,nM,,Inactive
CHEMBL362140,,N[C@@H](CC(=O)N1CCSC1)CC1CCCCC1,IC50,'=',33000.0,nM,,Inactive
CHEMBL319350,,N#CC1CCCCN1C(=O)[C@@H](N)CCNCc1ccc(Cl)cc1,IC50,'=',13000.0,nM,,Inactive
CHEMBL550862,,N[C@@H](CC(=O)N1CCC[C@H]1CNC(=O)c1ccccc1F)Cc1ccccc1F,IC50,'=',49.0,nM,,Active
CHEMBL560123,,N[C@@H](CC(=O)N1CCC[C@H]1CNC(=O)c1ccccn1)Cc1ccccc1F,IC50,'=',47.0,nM,,Active
CHEMBL562981,,N[C@@H](CC(=O)N1CCC[C@H]1CNC(=O)c1ccncc1)Cc1ccccc1F,IC50,'=',66.0,nM,,Active
CHEMBL549842,,N[C@@H](CC(=O)N1CCC[C@H]1CNS(=O)(=O)c1ccccc1F)Cc1ccccc1F,IC50,'=',53.0,nM,,Active
CHEMBL562603,,N[C@@H](CC(=O)N1CCC[C@H]1CNS(=O)(=O)c1cccc(F)c1)Cc1ccccc1F,IC50,'=',94.0,nM,,Active
CHEMBL3233848,,O=C(NCC(=O)N1CCC[C@H]1C(=O)CCl)c1ccnc2ccccc12,IC50,'>',100000.0,nM,,Inactive
CHEMBL1951605,,CC#CCn1c(N2CCC[C@@H](N)C2)c(C#N)c2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,IC50,'=',20.0,nM,,Active
CHEMBL1951611,,CC(C)=CCn1c(N2CCCNCC2)c(C#N)c2c1c(=O)n(Cc1ncc3ccccc3c1C#N)c(=O)n2C,IC50,'=',1.0,nM,,Active
CHEMBL3084936,,N#Cc1cccc(S(=O)(=O)N[C@H]2CC[C@H]([C@H](N)C(=O)N3CCSC3)CC2)c1,IC50,'=',24.0,nM,,Active
CHEMBL3084949,,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2cccc3ccccc23)CC1,IC50,'=',15.0,nM,,Active
CHEMBL558253,,N[C@H]1Cn2c(nc3c(F)cc(F)cc32)C[C@@H]1c1cc(F)c(F)cc1F,IC50,'=',47.0,nM,,Active
CHEMBL549913,,N[C@H]1Cn2c(nc3ccccc32)C[C@@H]1c1cc(F)c(F)cc1F,IC50,'=',68.0,nM,,Active
CHEMBL148127,,CCC(C)C(N)C(=O)N1CCCCCC1,IC50,'=',374000.0,nM,,Inactive
CHEMBL461506,,NCCCC[C@H](N)C(=O)N1CCCCC1,IC50,'=',134900.0,nM,,Inactive
CHEMBL5220750,,NCCCC[C@H](N)C(=O)N1CCC[C@H]1C(=O)O/C=C/c1ccccc1,IC50,'=',0.27,nM,,Active
CHEMBL264551,,C[C@@H]1CNCCN1C(=O)C[C@H](N)Cc1ccccc1F,IC50,'=',1600.0,nM,,Inactive
CHEMBL396857,,CCCC[C@@H]1CN(c2ccc(Oc3ccccc3)cc2)CC[C@H]1N,IC50,'=',15000.0,nM,,Inactive
CHEMBL182223,,NC(CC(=O)N1CCC[C@H]1C(=O)NCc1ccc(C(=O)O)cc1)Cc1ccc(F)c(F)c1,IC50,'=',75.0,nM,,Active
CHEMBL1682977,,CN([C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1)S(=O)(=O)c1cccc(C#N)c1,IC50,'=',85.0,nM,,Active
CHEMBL192396,,C[C@@H](c1ccc(-c2nccs2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1,IC50,'=',1500.0,nM,,Inactive
CHEMBL195755,,C[C@@H](c1ccc(-c2cccc(C(=O)O)c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1,IC50,'=',56.0,nM,,Active
CHEMBL234610,,CCCC[C@@H]1CN(c2ccccc2)CC[C@H]1N,IC50,'=',35700.0,nM,,Inactive
CHEMBL392084,,COc1cc2c(cc1OC)[C@@H]1C[C@@H](N)[C@@H](c3ccc(C)cc3)CN1CC2,IC50,'=',10590.0,nM,,Inactive
CHEMBL396136,,CCCC[C@H]1CN(c2cc(OC)c(OC)c(OC)c2)CC[C@H]1N,IC50,'=',2300.0,nM,,Inactive
CHEMBL234427,,CCCC[C@H]1CN(c2ccc(OC)c(OC)c2)CCC1N,IC50,'=',4900.0,nM,,Inactive
CHEMBL2385296,,COc1ccc(-c2cc(C(=O)NCC(=O)N3CCC[C@H]3C#N)c3ccccc3n2)cc1,IC50,'>',100000.0,nM,,Inactive
CHEMBL397353,,COc1ccc(N2CCC(N)C(c3ccc(C)c(C)c3)C2)cc1OC,IC50,'=',31300.0,nM,,Inactive
CHEMBL397144,,CCCCC1CN(c2cccc3c2CCCC3)CCC1N,IC50,'=',13600.0,nM,,Inactive
CHEMBL1651763,,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2sccc2c1=O,IC50,'=',0.87,nM,,Active
CHEMBL5220415,,CCOC(=O)/C=C/OC(=O)[C@@H]1CCCN1C(=O)CNC(=O)OC(C)(C)C,IC50,'=',5.9,nM,,Active
CHEMBL5219299,,C=COC(=O)[C@@H]1CCCN1C(=O)CN,IC50,'=',0.28,nM,,Active
CHEMBL516080,,CCOC(=O)N1CCN(C(=O)CC[C@H](N)C(=O)N2CCC[C@H]2C#N)CC1,IC50,'=',31.0,nM,,Active
CHEMBL515435,,N#C[C@@H]1CCCN1C(=O)[C@@H](N)CCC(=O)Nc1ccccc1,IC50,'=',37.0,nM,,Active
CHEMBL471648,,COC(=O)c1ccc([C@@H](N)Cc2cc(F)c(F)cc2F)cc1,IC50,'>',30000.0,nM,,Inactive
CHEMBL510157,,N[C@H](Cc1cc(F)c(F)cc1F)CC1CCCCC1,IC50,'>',30000.0,nM,,Inactive
CHEMBL496691,,N[C@H](Cc1cc(F)c(F)cc1F)c1ccncc1,IC50,'=',1970.0,nM,,Inactive
CHEMBL177472,,C(CNCc1ccccc1)=C1CCCC1,IC50,'>',1000000.0,nM,,Inactive
CHEMBL177735,,C1CCC(NCCN2CCCC2)CC1,IC50,'>',1000000.0,nM,,Inactive
CHEMBL178843,,S=C(CNC1CCCCC1)C1CCCC1,IC50,'>',1000000.0,nM,,Inactive
CHEMBL179687,,N#C[C@@H]1CCCC1C(=O)CNCc1ccc(F)cc1,IC50,'=',3700.0,nM,,Inactive
CHEMBL177180,,FC(CNC1CCCCC1)=C1CCCC1,IC50,'>',1000000.0,nM,,Inactive
CHEMBL176944,,FC(CNC1CCNCC1)=C1CCCCC1,IC50,'>',1000000.0,nM,,Inactive
CHEMBL2023066,,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2[nH]c(-c3cccnc3)cc2c1=O,IC50,'=',2.34,nM,,Active
CHEMBL263946,,CS(=O)(=O)Nc1cccc(NC(=O)CN2CCN(C(=O)C[C@H](N)Cc3ccc(F)c(F)c3)C(Cc3ccccc3)C2)c1,IC50,'=',44.0,nM,,Active
CHEMBL183207,,CS(=O)(=O)Nc1cccc(NC(=O)CN2CCN(C(=O)C[C@H](N)Cc3ccccc3F)[C@H](Cc3ccccc3)C2)c1,IC50,'=',14.0,nM,,Active
CHEMBL375745,,CS(=O)(=O)c1ccc(-c2noc([C@@H](CC3CC3)[C@H](N)C(=O)N3CC[C@H](F)C3)n2)c(F)c1,IC50,'=',19.0,nM,,Active
CHEMBL9408,,COC(=O)c1ccc(OP(=O)(Oc2ccc(C(=O)OC)cc2)C2CCCN2C(=O)C2CCCN2)cc1,IC50,'=',16.0,nM,,Active
CHEMBL3425747,,N[C@@H](CC(=O)N1CC[C@@H]2[C@@H](CCc3nnc(C(F)(F)F)n32)C1)Cc1cc(F)c(F)cc1F,IC50,'=',70.0,nM,,Active
CHEMBL472797,,CC(C)(CC(=O)N[C@H]1C[C@@H]1c1cccnc1)NCC(=O)N1C[C@@H](F)C[C@H]1C#N,IC50,'=',24.0,nM,,Active
CHEMBL517776,,CC(C)(CC(=O)N[C@H]1C[C@@H]1c1cccc(Cl)c1)NCC(=O)N1C[C@@H](F)C[C@H]1C#N,IC50,'=',15.0,nM,,Active
CHEMBL462839,,CCOc1cccc([C@H]2C[C@@H]2NC(=O)CC(C)(C)NCC(=O)N2C[C@@H](F)C[C@H]2C#N)c1,IC50,'=',17.0,nM,,Active
CHEMBL3639856,,C[C@H](NC(=O)[C@H](C)N)B(O)O,IC50,'=',63.0,nM,277812,Active
CHEMBL3686736,,CC(C)[C@H](N)C(=S)N1CCC[C@H]1B(O)O,IC50,'=',44.0,nM,277815,Active
CHEMBL3686748,,N[C@@H](Cc1c[nH]c2ccccc12)C(=S)N1CCC[C@H]1B(O)O,IC50,'=',1.6,nM,277831,Active
CHEMBL63895,,O=C([C@@H]1CCCN1)N1CCC[C@H]1B(O)O,IC50,'=',1.1,nM,277834,Active
CHEMBL63860,,C[C@H](N)C(=O)N1CCC[C@H]1B(O)O,IC50,'=',1400.0,nM,277836,Inactive
